1397965003,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.48
1397965008,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.48
1397965013,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.49
1397965018,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.49
1397965023,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.49
1397965028,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.50
1397965033,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.50
1397965038,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.52
1397965043,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.52
1397965048,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.53
1397965053,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.53
1397965058,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.54
1397965063,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.54
1397965068,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.54
1397965073,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.55
1397965078,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.56
1397965083,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.56
1397965088,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.57
1397965093,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.58
1397965098,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.59
1397965103,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.60
1397965108,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.60
1397965113,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.60
1397965119,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.61
1397965124,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.61
1397965129,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.61
1397965134,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.62
1397965139,obelix77.cs.umass.edu,3,instance-00000022,0.0,1,8/8CPU,8:51.62
